HUD frame time nsec:,17585000

Range Index,Elapsed Time, First Event,Last Event
0,25120,4,4
1,5920,39,39
2,4192,63,63
3,4256,87,87
4,4256,111,111
5,3840,135,135
6,3552,159,159
7,3552,183,183
8,3552,207,207
9,6816,231,231
10,4384,255,255
11,5600,279,279
12,4512,303,303
13,4192,327,327
14,4192,351,351
15,4224,375,375
16,4192,399,399
17,4224,423,423
18,4224,447,447
19,4192,471,471
20,5088,495,495
21,4192,519,519
22,5056,543,543
23,5440,567,567
24,5888,591,591
25,4832,615,615
26,4928,639,639
27,4608,663,663
28,5248,687,687
29,4864,711,711
30,4384,735,735
31,4768,759,759
32,5536,783,783
33,135040,807,807
34,4576,831,831
35,4768,855,855
36,8480,879,879
37,8896,903,903
38,9920,927,927
39,15712,951,951
40,16320,975,975
41,10176,999,999
42,9088,1023,1023
43,8512,1047,1047
44,20800,1071,1071
45,4256,1095,1095
46,4512,1119,1119
47,3808,1143,1143
48,3840,1167,1167
49,3840,1191,1191
50,5184,1215,1215
51,4352,1239,1239
52,4864,1263,1263
53,3840,1287,1287
54,3808,1311,1311
55,4640,1335,1335
56,7712,1359,1359
57,5632,1383,1383
58,5664,1407,1407
59,3680,1431,1431
60,3456,1455,1455
61,3456,1479,1479
62,3456,1503,1503
63,5664,1527,1527
64,5536,1551,1551
65,5088,1575,1575
66,5504,1599,1599
67,4608,1623,1623
68,4544,1647,1647
69,4576,1671,1671
70,5792,1695,1695
71,5120,1719,1719
72,6304,1743,1743
73,6400,1767,1767
74,5664,1791,1791
75,5728,1815,1815
76,5184,1839,1839
77,5216,1863,1863
78,5696,1887,1887
79,5728,1911,1911
80,6080,1935,1935
81,5696,1959,1959
82,12608,1983,1983
83,196000,2007,2007
84,128448,2031,2031
85,5600,2069,2069
86,4384,2093,2093
87,4352,2117,2117
88,4352,2141,2141
89,4096,2165,2165
90,3776,2189,2189
91,3776,2213,2213
92,3776,2237,2237
93,7392,2261,2261
94,4032,2285,2285
95,15616,2309,2309
96,4736,2333,2333
97,4384,2357,2357
98,4064,2381,2381
99,4352,2405,2405
100,4352,2429,2429
101,4384,2453,2453
102,4384,2477,2477
103,4352,2501,2501
104,5184,2525,2525
105,4416,2549,2549
106,16224,2573,2573
107,19008,2597,2597
108,15776,2621,2621
109,12032,2645,2645
110,12000,2669,2669
111,9728,2693,2693
112,15424,2717,2717
113,12192,2741,2741
114,11008,2765,2765
115,10272,2789,2789
116,5312,2813,2813
117,800064,2837,2837
118,5472,2861,2861
119,4640,2885,2885
120,17888,2909,2909
121,20896,2933,2933
122,28224,2957,2957
123,63904,2981,2981
124,63264,3005,3005
125,34272,3029,3029
126,22816,3053,3053
127,18528,3077,3077
128,40416,3101,3101
129,4832,3125,3125
130,9664,3149,3149
131,4032,3173,3173
132,4032,3197,3197
133,3648,3221,3221
134,10976,3245,3245
135,9472,3269,3269
136,10624,3293,3293
137,4032,3317,3317
138,4000,3341,3341
139,5056,3365,3365
140,7616,3389,3389
141,5920,3413,3413
142,5824,3437,3437
143,3456,3461,3461
144,3680,3485,3485
145,3744,3509,3509
146,3680,3533,3533
147,6176,3557,3557
148,6336,3581,3581
149,6144,3605,3605
150,5696,3629,3629
151,4800,3653,3653
152,4736,3677,3677
153,4768,3701,3701
154,5984,3725,3725
155,5760,3749,3749
156,11392,3773,3773
157,12608,3797,3797
158,5824,3821,3821
159,5856,3845,3845
160,5824,3869,3869
161,5792,3893,3893
162,5824,3917,3917
163,5792,3941,3941
164,5984,3965,3965
165,5728,3989,3989
166,12736,4013,4013
167,195776,4037,4037
168,127680,4061,4061
169,505920,4063,4063
