HUD frame time nsec:,13890000

Range Index,Elapsed Time, First Event,Last Event
0,26368,7,7
1,6112,39,39
2,4384,63,63
3,4384,87,87
4,4416,111,111
5,3808,135,135
6,3520,159,159
7,3520,183,183
8,3520,207,207
9,6976,231,231
10,4320,255,255
11,7488,279,279
12,4544,303,303
13,4256,327,327
14,4256,351,351
15,4256,375,375
16,4256,399,399
17,4288,423,423
18,4256,447,447
19,4288,471,471
20,5216,495,495
21,4288,519,519
22,5408,543,543
23,5984,567,567
24,5856,591,591
25,4896,615,615
26,5280,639,639
27,5344,663,663
28,5696,687,687
29,5376,711,711
30,5344,735,735
31,5280,759,759
32,5472,783,783
33,196832,807,807
34,4960,831,831
35,4704,855,855
36,7584,879,879
37,7840,903,903
38,8128,927,927
39,10688,951,951
40,10144,975,975
41,8640,999,999
42,7808,1023,1023
43,7360,1047,1047
44,14688,1071,1071
45,4224,1095,1095
46,5568,1119,1119
47,3808,1143,1143
48,3776,1167,1167
49,3776,1191,1191
50,5504,1215,1215
51,5408,1239,1239
52,5472,1263,1263
53,3488,1287,1287
54,3776,1311,1311
55,4544,1335,1335
56,6592,1359,1359
57,4000,1383,1383
58,5504,1407,1407
59,3616,1431,1431
60,3392,1455,1455
61,3424,1479,1479
62,3392,1503,1503
63,6368,1527,1527
64,5856,1551,1551
65,5856,1575,1575
66,5856,1599,1599
67,4704,1623,1623
68,4640,1647,1647
69,4576,1671,1671
70,5728,1695,1695
71,5696,1719,1719
72,7552,1743,1743
73,7264,1767,1767
74,5760,1791,1791
75,5792,1815,1815
76,5792,1839,1839
77,5760,1863,1863
78,5728,1887,1887
79,5760,1911,1911
80,5600,1935,1935
81,5856,1959,1959
82,12608,1983,1983
83,195552,2007,2007
84,128192,2031,2031
85,5824,2069,2069
86,4416,2093,2093
87,4416,2117,2117
88,4480,2141,2141
89,4096,2165,2165
90,3808,2189,2189
91,3776,2213,2213
92,3776,2237,2237
93,7264,2261,2261
94,4608,2285,2285
95,15776,2309,2309
96,4672,2333,2333
97,3968,2357,2357
98,4352,2381,2381
99,4352,2405,2405
100,4352,2429,2429
101,4384,2453,2453
102,4384,2477,2477
103,4320,2501,2501
104,5408,2525,2525
105,4544,2549,2549
106,15616,2573,2573
107,18784,2597,2597
108,13760,2621,2621
109,11040,2645,2645
110,11808,2669,2669
111,9632,2693,2693
112,14816,2717,2717
113,11872,2741,2741
114,11424,2765,2765
115,10784,2789,2789
116,5216,2813,2813
117,786944,2837,2837
118,5504,2861,2861
119,5248,2885,2885
120,17312,2909,2909
121,21376,2933,2933
122,27968,2957,2957
123,63936,2981,2981
124,64448,3005,3005
125,32960,3029,3029
126,22112,3053,3053
127,18272,3077,3077
128,36320,3101,3101
129,5024,3125,3125
130,9536,3149,3149
131,4064,3173,3173
132,4032,3197,3197
133,4000,3221,3221
134,10432,3245,3245
135,9536,3269,3269
136,10176,3293,3293
137,4032,3317,3317
138,4064,3341,3341
139,5312,3365,3365
140,6720,3389,3389
141,4352,3413,3413
142,5728,3437,3437
143,3552,3461,3461
144,3712,3485,3485
145,3712,3509,3509
146,3680,3533,3533
147,6016,3557,3557
148,5856,3581,3581
149,5824,3605,3605
150,5824,3629,3629
151,4736,3653,3653
152,4832,3677,3677
153,4864,3701,3701
154,5952,3725,3725
155,5728,3749,3749
156,11008,3773,3773
157,12352,3797,3797
158,5728,3821,3821
159,5504,3845,3845
160,5248,3869,3869
161,5728,3893,3893
162,5760,3917,3917
163,5728,3941,3941
164,5760,3965,3965
165,5760,3989,3989
166,12704,4013,4013
167,195520,4037,4037
168,127968,4061,4061
169,518976,4063,4063
