HUD frame time nsec:,13889000

Range Index,Elapsed Time, First Event,Last Event
0,24448,6,6
1,5504,38,38
2,4288,62,62
3,4256,86,86
4,4320,110,110
5,3872,134,134
6,3520,158,158
7,3520,182,182
8,3552,206,206
9,6720,230,230
10,4256,254,254
11,6272,278,278
12,4512,302,302
13,4192,326,326
14,4224,350,350
15,4192,374,374
16,4192,398,398
17,4224,422,422
18,4192,446,446
19,4192,470,470
20,5088,494,494
21,4320,518,518
22,6112,542,542
23,5536,566,566
24,6432,590,590
25,5440,614,614
26,5504,638,638
27,5408,662,662
28,5984,686,686
29,5440,710,710
30,5344,734,734
31,5312,758,758
32,5632,782,782
33,243712,806,806
34,4960,830,830
35,4832,854,854
36,8864,878,878
37,9728,902,902
38,10336,926,926
39,16672,950,950
40,16736,974,974
41,10752,998,998
42,9824,1022,1022
43,8800,1046,1046
44,20896,1070,1070
45,3968,1094,1094
46,5792,1118,1118
47,3776,1142,1142
48,3776,1166,1166
49,3776,1190,1190
50,5536,1214,1214
51,5344,1238,1238
52,5472,1262,1262
53,3776,1286,1286
54,3776,1310,1310
55,4672,1334,1334
56,7808,1358,1358
57,5632,1382,1382
58,5568,1406,1406
59,3648,1430,1430
60,3392,1454,1454
61,3392,1478,1478
62,3392,1502,1502
63,5920,1526,1526
64,5664,1550,1550
65,5664,1574,1574
66,5632,1598,1598
67,4224,1622,1622
68,4640,1646,1646
69,4608,1670,1670
70,5920,1694,1694
71,5792,1718,1718
72,7008,1742,1742
73,7552,1766,1766
74,5728,1790,1790
75,5728,1814,1814
76,5344,1838,1838
77,5792,1862,1862
78,5728,1886,1886
79,5792,1910,1910
80,5984,1934,1934
81,5664,1958,1958
82,12544,1982,1982
83,195296,2006,2006
84,127456,2030,2030
85,2377728,2031,2031
