HUD frame time nsec:,13885000

Range Index,Elapsed Time, First Event,Last Event
0,25472,4,4
1,6112,40,40
2,4256,64,64
3,4288,88,88
4,4256,112,112
5,3776,136,136
6,3552,160,160
7,3520,184,184
8,3488,208,208
9,7040,232,232
10,4032,256,256
11,5280,280,280
12,4448,304,304
13,4256,328,328
14,4256,352,352
15,4224,376,376
16,4192,400,400
17,4224,424,424
18,4224,448,448
19,3968,472,472
20,5024,496,496
21,4192,520,520
22,5152,544,544
23,5216,568,568
24,4800,592,592
25,4512,616,616
26,4512,640,640
27,4224,664,664
28,4800,688,688
29,4512,712,712
30,4384,736,736
31,4384,760,760
32,5440,784,784
33,95424,808,808
34,4992,832,832
35,4640,856,856
36,6880,880,880
37,6816,904,904
38,7200,928,928
39,9632,952,952
40,9376,976,976
41,7712,1000,1000
42,6944,1024,1024
43,6624,1048,1048
44,13856,1072,1072
45,4128,1096,1096
46,4416,1120,1120
47,3776,1144,1144
48,3776,1168,1168
49,3808,1192,1192
50,4640,1216,1216
51,4320,1240,1240
52,4544,1264,1264
53,3776,1288,1288
54,3776,1312,1312
55,4256,1336,1336
56,6208,1360,1360
57,3936,1384,1384
58,5408,1408,1408
59,3616,1432,1432
60,3360,1456,1456
61,3360,1480,1480
62,3392,1504,1504
63,6240,1528,1528
64,5728,1552,1552
65,5696,1576,1576
66,5696,1600,1600
67,4768,1624,1624
68,4704,1648,1648
69,4800,1672,1672
70,5952,1696,1696
71,5760,1720,1720
72,6368,1744,1744
73,6720,1768,1768
74,5408,1792,1792
75,5792,1816,1816
76,5376,1840,1840
77,5856,1864,1864
78,5760,1888,1888
79,5856,1912,1912
80,5376,1936,1936
81,5696,1960,1960
82,12640,1984,1984
83,195488,2008,2008
84,128256,2032,2032
85,5792,2070,2070
86,4480,2094,2094
87,4416,2118,2118
88,4448,2142,2142
89,4128,2166,2166
90,3808,2190,2190
91,3776,2214,2214
92,3328,2238,2238
93,7648,2262,2262
94,4608,2286,2286
95,16064,2310,2310
96,4736,2334,2334
97,4416,2358,2358
98,4352,2382,2382
99,4352,2406,2406
100,4320,2430,2430
101,4384,2454,2454
102,4416,2478,2478
103,4416,2502,2502
104,5216,2526,2526
105,4544,2550,2550
106,15744,2574,2574
107,19488,2598,2598
108,15872,2622,2622
109,11264,2646,2646
110,12032,2670,2670
111,9824,2694,2694
112,15616,2718,2718
113,11904,2742,2742
114,11968,2766,2766
115,9632,2790,2790
116,5280,2814,2814
117,816800,2838,2838
118,5504,2862,2862
119,5024,2886,2886
120,18816,2910,2910
121,21760,2934,2934
122,30144,2958,2958
123,66368,2982,2982
124,65120,3006,3006
125,33248,3030,3030
126,22624,3054,3054
127,18656,3078,3078
128,37920,3102,3102
129,4512,3126,3126
130,10048,3150,3150
131,4064,3174,3174
132,4032,3198,3198
133,4032,3222,3222
134,11232,3246,3246
135,10016,3270,3270
136,10720,3294,3294
137,4000,3318,3318
138,4032,3342,3342
139,4768,3366,3366
140,6560,3390,3390
141,4256,3414,3414
142,5600,3438,3438
143,3936,3462,3462
144,3328,3486,3486
145,3680,3510,3510
146,3616,3534,3534
147,5984,3558,3558
148,5632,3582,3582
149,5312,3606,3606
150,5664,3630,3630
151,4736,3654,3654
152,4800,3678,3678
153,4800,3702,3702
154,6144,3726,3726
155,6240,3750,3750
156,12704,3774,3774
157,13120,3798,3798
158,6272,3822,3822
159,5792,3846,3846
160,6304,3870,3870
161,6272,3894,3894
162,6272,3918,3918
163,6272,3942,3942
164,5664,3966,3966
165,5696,3990,3990
166,12768,4014,4014
167,195360,4038,4038
168,127392,4062,4062
169,676800,4064,4064
