HUD frame time nsec:,13898000

Range Index,Elapsed Time, First Event,Last Event
0,25920,6,6
1,5920,39,39
2,4352,63,63
3,4352,87,87
4,4160,111,111
5,3840,135,135
6,3616,159,159
7,3584,183,183
8,3584,207,207
9,7008,231,231
10,4384,255,255
11,5376,279,279
12,4608,303,303
13,4288,327,327
14,4224,351,351
15,4256,375,375
16,4224,399,399
17,4256,423,423
18,4256,447,447
19,4288,471,471
20,5120,495,495
21,4288,519,519
22,5088,543,543
23,5536,567,567
24,5856,591,591
25,4896,615,615
26,4928,639,639
27,4128,663,663
28,5440,687,687
29,4928,711,711
30,4768,735,735
31,4800,759,759
32,4832,783,783
33,135136,807,807
34,4672,831,831
35,4704,855,855
36,8224,879,879
37,8992,903,903
38,9856,927,927
39,15136,951,951
40,16256,975,975
41,9312,999,999
42,8768,1023,1023
43,8128,1047,1047
44,20416,1071,1071
45,4256,1095,1095
46,4512,1119,1119
47,3872,1143,1143
48,3424,1167,1167
49,3840,1191,1191
50,5184,1215,1215
51,4352,1239,1239
52,4896,1263,1263
53,3840,1287,1287
54,3872,1311,1311
55,4416,1335,1335
56,7520,1359,1359
57,5568,1383,1383
58,5536,1407,1407
59,3552,1431,1431
60,3424,1455,1455
61,3424,1479,1479
62,3424,1503,1503
63,5984,1527,1527
64,5568,1551,1551
65,5536,1575,1575
66,5536,1599,1599
67,4544,1623,1623
68,4576,1647,1647
69,4480,1671,1671
70,5408,1695,1695
71,5600,1719,1719
72,6336,1743,1743
73,6944,1767,1767
74,5696,1791,1791
75,5216,1815,1815
76,5664,1839,1839
77,5632,1863,1863
78,5440,1887,1887
79,5216,1911,1911
80,6080,1935,1935
81,5696,1959,1959
82,12576,1983,1983
83,195744,2007,2007
84,128384,2031,2031
85,5824,2070,2070
86,4448,2094,2094
87,4448,2118,2118
88,4448,2142,2142
89,4064,2166,2166
90,3360,2190,2190
91,3808,2214,2214
92,3808,2238,2238
93,7040,2262,2262
94,4512,2286,2286
95,15840,2310,2310
96,4640,2334,2334
97,4384,2358,2358
98,4352,2382,2382
99,4352,2406,2406
100,4320,2430,2430
101,4352,2454,2454
102,4384,2478,2478
103,4352,2502,2502
104,5280,2526,2526
105,4448,2550,2550
106,16192,2574,2574
107,19616,2598,2598
108,15872,2622,2622
109,11232,2646,2646
110,12320,2670,2670
111,10304,2694,2694
112,15840,2718,2718
113,11424,2742,2742
114,11136,2766,2766
115,10208,2790,2790
116,5184,2814,2814
117,827968,2838,2838
118,5504,2862,2862
119,5056,2886,2886
120,18048,2910,2910
121,22272,2934,2934
122,29504,2958,2958
123,66336,2982,2982
124,66240,3006,3006
125,34336,3030,3030
126,23168,3054,3054
127,19040,3078,3078
128,39552,3102,3102
129,4832,3126,3126
130,10624,3150,3150
131,3744,3174,3174
132,4032,3198,3198
133,4000,3222,3222
134,11680,3246,3246
135,10048,3270,3270
136,10848,3294,3294
137,4064,3318,3318
138,4032,3342,3342
139,4672,3366,3366
140,7616,3390,3390
141,5440,3414,3414
142,5632,3438,3438
143,3936,3462,3462
144,3680,3486,3486
145,3744,3510,3510
146,3616,3534,3534
147,5888,3558,3558
148,6016,3582,3582
149,5984,3606,3606
150,6048,3630,3630
151,4832,3654,3654
152,4768,3678,3678
153,4768,3702,3702
154,6080,3726,3726
155,5984,3750,3750
156,12448,3774,3774
157,13088,3798,3798
158,5952,3822,3822
159,5536,3846,3846
160,6016,3870,3870
161,6048,3894,3894
162,5504,3918,3918
163,5984,3942,3942
164,6464,3966,3966
165,5792,3990,3990
166,12704,4014,4014
167,195552,4038,4038
168,128000,4062,4062
169,546688,4064,4064
